date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,positive_rate,hospitalization_rate
2021-03-07,AK,56886,,,,totalTestsViral,1731628,33.0,1293.0,,,2.0,,,3/5/2021 03:59,2021-03-05T03:59:00Z,03/04 22:59,305,1293.0,,2021-03-05T03:59:00Z,1731628.0,68693.0,1660758.0,,,,,,,,,,,,,,,,02,0,0,56886,0,56886,,0,0,dc4bccd4bb885349d7e94d6fed058e285d4be164,0,0,0,0,0,,0.03285116664780195,0.0005801075835882291
2021-03-07,AL,499819,107742.0,1931711.0,,totalTestsPeopleViral,2323788,494.0,45976.0,,2676.0,,1515.0,295690.0,3/7/2021 11:00,2021-03-07T11:00:00Z,03/07 06:00,10148,45976.0,,2021-03-07T11:00:00Z,,,,392077.0,7963.0,2185.0,,2323788.0,,,,119757.0,,,,,,,01,408,2087,2431530,2347,2431530,,-1,0,997207b430824ea40b8eb8506c19a93e07bc972e,0,0,0,0,0,,0.2150880372908372,0.0009883577855183576
2021-03-07,AR,324818,69092.0,2480716.0,,totalTestsViral,2736442,335.0,14926.0,141.0,,65.0,1533.0,315517.0,3/7/2021 00:00,2021-03-07T00:00:00Z,03/06 19:00,5319,14926.0,,2021-03-07T00:00:00Z,2736442.0,,2480716.0,255726.0,4308.0,1011.0,,,,,,,,,481311.0,81803.0,,,05,165,3267,2805534,3380,2805534,,22,11,50921aeefba3e30d31623aa495b47fb2ecc72fae,0,0,0,0,0,,0.11870085315164729,0.0010313467849688133
2021-03-07,AS,0,,2140.0,,totalTestsViral,2140,,,,,,,,12/1/2020 00:00,2020-12-01T00:00:00Z,11/30 19:00,0,,,2020-12-01T00:00:00Z,2140.0,,,0.0,,,,,,,,,,,,,,,60,0,0,2140,0,2140,,0,0,f77912d0b80d579fbb6202fa1a90554fc4dc1443,0,0,0,0,0,,0.0,
2021-03-07,AZ,826454,56519.0,3073010.0,,totalTestsViral,7908105,963.0,57907.0,273.0,,143.0,,,3/7/2021 00:00,2021-03-07T00:00:00Z,03/06 19:00,16328,57907.0,118932.0,2021-03-07T00:00:00Z,7908105.0,,,769935.0,14403.0,1925.0,,3842945.0,580569.0,,,444089.0,,,,,,,04,1335,13678,3899464,45110,3899464,,5,44,0437a7a96f4471666f775e63e86923eb5cbd8cdf,0,0,0,0,0,,0.10450721127248563,0.0011652191168534487
2021-03-07,CA,3501394,,,,totalTestsViral,49646014,4291.0,,1159.0,,,,,3/7/2021 02:59,2021-03-07T02:59:00Z,03/06 21:59,54124,,,2021-03-07T02:59:00Z,49646014.0,,,3501394.0,,,,,,,,,,,,,,,06,3816,0,3501394,133186,3501394,,258,0,63c5c0fd2daef2fb65150e9db486de98ed3f7b72,0,0,0,0,0,,0.07052719277724895,0.0012255118961190885
2021-03-07,CO,436602,24786.0,2199458.0,,totalTestEncountersViral,6415123,326.0,23904.0,,,,,,3/7/2021 01:59,2021-03-07T01:59:00Z,03/06 20:59,5989,23904.0,23003.0,2021-03-07T01:59:00Z,,,,410976.0,5251.0,735.0,6415123.0,2616541.0,435053.0,63087.0,369995.0,,,,,,,,08,840,0,2636060,38163,2636060,,3,18,444746cda3a596f183f3fa3269c8cab68704e819,0,0,0,0,0,,0.06805824299861436,0.0007466754618622911
2021-03-07,CT,285330,19621.0,,,totalTestsViral,6520366,428.0,,,,,,,3/4/2021 23:59,2021-03-04T23:59:00Z,03/04 18:59,7704,,,2021-03-04T23:59:00Z,6520366.0,323284.0,6188566.0,265709.0,6327.0,1377.0,,,,,,,,,,,396680.0,22245.0,09,0,0,285330,0,285330,,0,0,38f39494134d22cd0d06e4ce63aa4a4ac10aa930,0,0,0,0,0,,0.04375981348286277,0.0015000175235692006
2021-03-07,DC,41419,,,,totalTestEncountersViral,1261363,150.0,,38.0,,16.0,,29570.0,3/6/2021 00:00,2021-03-06T00:00:00Z,03/05 19:00,1030,,,2021-03-06T00:00:00Z,,,,,,,1261363.0,441942.0,,,,,,,,,,,11,146,0,41419,5726,41419,,0,0,a3aa0d623d538807fb9577ad64354f48cf728cc8,0,0,0,0,0,,0.032836701250948376,0.003621526352640093
2021-03-07,DE,88354,4733.0,545070.0,,totalTestEncountersViral,1431942,104.0,,13.0,,,,,3/6/2021 18:00,2021-03-06T18:00:00Z,03/06 13:00,1473,,,2021-03-06T18:00:00Z,,91873.0,,83621.0,1337.0,136.0,1431942.0,633424.0,,,,,,,,,,,10,215,917,633424,5867,633424,,9,0,059d870e689d5cc19c35f5eb398214d7d9856373,0,0,0,0,0,,0.06170221978264483,0.0011770830975394435
2021-03-07,FL,1909209,360372.0,9339038.0,8544.0,totalTestEncountersViral,22339182,3307.0,82237.0,,,,,,3/6/2021 23:59,2021-03-06T23:59:00Z,03/06 18:59,32266,82237.0,,2021-03-06T23:59:00Z,19482607.0,2502506.0,16887410.0,1548837.0,,,22339182.0,11248247.0,1054711.0,190026.0,864153.0,995580.0,178979.0,816231.0,,,,,12,4024,19166,11256791,64599,11248247,,66,92,e69aca367d15584f4db13bd791804be1b017efc7,0,0,0,0,0,,0.08546458863175921,0.0017321309505664388
2021-03-07,GA,1023487,195151.0,,,totalTestsViral,7359069,2008.0,56797.0,,9263.0,,,,3/7/2021 14:50,2021-03-07T14:50:00Z,03/07 09:50,17906,56797.0,,2021-03-07T14:50:00Z,7359069.0,803515.0,,828336.0,15598.0,2308.0,,,482568.0,78312.0,,,,,,,1484921.0,168867.0,13,1709,0,1023487,18827,1023487,,1,35,d64d091b3e0b4c47cb7a80c60b7fc6dd1d15d6dd,0,0,0,0,0,,0.13907832634807474,0.00196192037612593
2021-03-07,GU,7749,209.0,112887.0,,posNeg,120636,2.0,,1.0,,1.0,,7590.0,3/7/2021 01:45,2021-03-07T01:45:00Z,03/06 20:45,133,,,2021-03-07T01:45:00Z,120426.0,,,7540.0,,,,,358.0,27.0,,,,,,,9299.0,248.0,66,0,0,120636,0,120636,,0,0,b6fe9a2c36aa6e5b1f0b14dd057d23c6968b10a4,0,0,0,0,0,,0.06423455684870188,0.0002580978190734288
2021-03-07,HI,28699,808.0,,,totalTestEncountersViral,1146796,27.0,2226.0,5.0,,3.0,,,3/5/2021 14:30,2021-03-05T14:30:00Z,03/05 09:30,445,2226.0,,2021-03-05T14:30:00Z,,27774.0,,27891.0,445.0,,1146796.0,,,,,,,,,,,,15,53,0,28699,5117,28699,,1,0,4f2c09f953483ffc35e24ac50e0c6c1f10077002,0,0,0,0,0,,0.025025375044907726,0.0009407993309871424
2021-03-07,IA,282384,,1044418.0,,posNeg,1326802,167.0,,35.0,,6.0,,320054.0,3/7/2021 00:00,2021-03-07T00:00:00Z,03/06 19:00,5558,,,2021-03-07T00:00:00Z,2753899.0,306343.0,2432425.0,282384.0,,,,1329195.0,,,,113739.0,19704.0,93984.0,247999.0,57190.0,1390094.0,60700.0,19,257,1299,1326802,1556,1326802,,6,0,33548da1aa99383ebd1ef74769d8bb1eba36b959,0,0,0,0,0,,0.2128305504513861,0.0005913932800725253
2021-03-07,ID,172931,33057.0,505964.0,,totalTestsPeopleViral,645838,150.0,7184.0,33.0,1245.0,,,96017.0,3/6/2021 19:00,2021-03-06T19:00:00Z,03/06 14:00,1879,7184.0,,2021-03-06T19:00:00Z,1103725.0,,,139874.0,1652.0,227.0,,645838.0,,,,,,,,,123809.0,,16,104,535,678895,396,678895,,3,5,78595a6705d321c83cba079dbee71b6db1897502,0,0,0,0,0,,0.26776219423446745,0.000867397979540973
2021-03-07,IL,1198335,,,,totalTestsViral,18640190,1141.0,,255.0,,112.0,,,3/7/2021 00:00,2021-03-07T00:00:00Z,03/06 19:00,23014,,,2021-03-07T00:00:00Z,18640190.0,,,,20763.0,2251.0,,,,,,,,,,,,,17,1068,0,1198335,68094,1198335,,12,0,b7f807d015574eb38516d454d35cc6c09effb16b,0,0,0,0,0,,0.06428770307598795,0.0009521544476294192
2021-03-07,IN,667262,,2483156.0,,totalTestsViral,8242367,656.0,43217.0,104.0,7600.0,50.0,,,3/6/2021 23:59,2021-03-06T23:59:00Z,03/06 18:59,12737,43217.0,434805.0,2021-03-06T23:59:00Z,8242367.0,760491.0,,,12310.0,427.0,,3150418.0,,,,,,,,,,,18,746,4643,3150418,29427,3150418,,11,64,dcdfec9f776fcb6e79033397905f447c5fc756bc,0,0,0,0,0,,0.08095514310391663,0.0009831220719897131
2021-03-07,KS,295861,,974686.0,,posNeg,1270547,235.0,9387.0,50.0,2554.0,22.0,411.0,,3/5/2021 10:00,2021-03-05T10:00:00Z,03/05 05:00,4812,9387.0,6473.0,2021-03-05T10:00:00Z,2525259.0,,,,,,,1270547.0,,,,,,,,,602322.0,,20,0,0,1270547,0,1270547,,0,0,71bcb3a00a03aa1b0c50376fdc9f22e1e9b5156b,0,0,0,0,0,,0.232861122020673,0.0007942919141083144
2021-03-07,KY,410709,96324.0,,,totalTestsViral,3975672,558.0,19457.0,156.0,4034.0,82.0,,48145.0,3/7/2021 00:00,2021-03-07T00:00:00Z,03/06 19:00,4819,19457.0,,2021-03-07T00:00:00Z,3975672.0,251921.0,,314385.0,4369.0,450.0,,,111886.0,9929.0,,,,,,,509047.0,37655.0,21,525,0,410709,0,410709,,13,6,e75efcdb394b4f605892102108def98f76e402d4,0,0,0,0,0,,0.1033055543817498,0.001358626180580411
2021-03-07,LA,433785,61271.0,5261679.0,,posNeg,5695464,532.0,,,,75.0,,415954.0,3/7/2021 13:00,2021-03-07T13:00:00Z,03/07 08:00,9748,,,2021-03-07T13:00:00Z,5634193.0,,,372514.0,9033.0,715.0,,,,,,,,,,,469967.0,,22,740,20578,5695464,21318,5695464,,32,0,7fd45e084947a390edc7e73d1d9039015369dc7f,0,0,0,0,0,,0.07616324148480265,0.0012264140069389213
2021-03-07,MA,591356,32273.0,4404792.0,,totalTestsViral,16825551,665.0,19713.0,174.0,,116.0,,508745.0,3/6/2021 23:59,2021-03-06T23:59:00Z,03/06 18:59,16417,19713.0,,2021-03-06T23:59:00Z,16825551.0,668145.0,,559083.0,16085.0,332.0,,4963875.0,,,,156185.0,15425.0,,580372.0,,,,25,1425,8028,4996148,96578,4996148,,43,0,acd1b6abdcc5a944bacbaa1f8fe621fc84c7e08e,0,0,0,0,0,,0.035146308135763284,0.0011245341215782034
2021-03-07,MD,387319,,3034546.0,,totalTestsViral,8097590,818.0,35651.0,215.0,,,,9703.0,3/7/2021 10:00,2021-03-07T10:00:00Z,03/07 05:00,7955,35651.0,,2021-03-07T10:00:00Z,8097590.0,472716.0,,387319.0,7773.0,182.0,,3421865.0,,,,198139.0,28360.0,169779.0,,,,,24,709,2050,3421865,33128,3421865,,14,79,f0e2e509e56cd4e825ca3673d540a4c6329c9a0c,0,0,0,0,0,,0.047831391809167914,0.0021119542289430677
2021-03-07,ME,45794,9948.0,,,totalTestsViral,1660180,67.0,1570.0,16.0,,8.0,,12840.0,3/6/2021 23:59,2021-03-06T23:59:00Z,03/06 18:59,706,1570.0,,2021-03-06T23:59:00Z,1660180.0,41510.0,,35846.0,683.0,23.0,,,15113.0,869.0,14232.0,,,,,,213426.0,10749.0,23,159,0,45794,7490,45794,,2,4,2375b3e026543e57fb7a7a75172d0a909b1483a3,0,0,0,0,0,,0.027583755978267416,0.0014630737651220684
2021-03-07,MI,656072,60018.0,,,totalTestsViral,10621967,866.0,,222.0,,97.0,,549881.0,3/6/2021 00:00,2021-03-06T00:00:00Z,03/05 19:00,16658,,,2021-03-06T00:00:00Z,10621967.0,752365.0,9869602.0,596054.0,15666.0,992.0,,,537073.0,,,,,,,,,,26,0,0,656072,0,656072,,0,0,0319b95a7e00d41ec841fc29e39b238055dc542d,0,0,0,0,0,,0.061765584472254526,0.0013199770756868148
2021-03-07,MN,490011,24464.0,3058514.0,,totalTestEncountersViral,7111428,224.0,25978.0,57.0,5364.0,,,476055.0,3/6/2021 17:00,2021-03-06T17:00:00Z,03/06 12:00,6550,25978.0,,2021-03-06T17:00:00Z,,,,465547.0,6276.0,274.0,7111428.0,3524061.0,,,,,,,,,451963.0,,27,895,8218,3548525,25369,3548525,,4,2,28cbe3a55cc006f13f3a5397cc795403cf55d246,0,0,0,0,0,,0.06890472630813389,0.0004571325949825616
2021-03-07,MO,480643,,1878583.0,,totalTestsViral,4565866,955.0,,197.0,,135.0,,,3/7/2021 00:59,2021-03-07T00:59:00Z,03/06 19:59,8161,,,2021-03-07T00:59:00Z,4565866.0,530741.0,4025535.0,480643.0,,,,2359226.0,152126.0,24926.0,127001.0,135759.0,,,366813.0,,906752.0,83657.0,29,291,2950,2359226,10659,2359226,,0,0,69bb8a73e3a654573e0d38b349d6a92c7750b42d,0,0,0,0,0,,0.10526874857913045,0.001986921686157918
2021-03-07,MP,145,,17429.0,,posNeg,17574,,4.0,,,,,29.0,3/8/2021 00:00,2021-03-08T00:00:00Z,03/07 19:00,2,4.0,,2021-03-08T00:00:00Z,26131.0,,,145.0,2.0,,,17542.0,,,,,,,,,,,69,1,0,17574,1,17574,,0,0,604ee9ce4dee663fe99123a19a712d867f8a0406,0,0,0,0,0,,0.00825082508250825,
2021-03-07,MS,297581,113303.0,1459374.0,,posNeg,1756955,419.0,9162.0,89.0,,47.0,,278162.0,3/6/2021 00:00,2021-03-06T00:00:00Z,03/05 19:00,6808,9162.0,,2021-03-06T00:00:00Z,1642348.0,,,184278.0,4737.0,2071.0,,,81986.0,,,,,,,,748339.0,,28,260,0,1756955,260,1756955,,3,0,38d600ef762a2cde624501169ffae710e94913fe,0,0,0,0,0,,0.16937314843009638,0.0014080200012769632
2021-03-07,MT,100914,5524.0,,,totalTestsViral,1104488,63.0,4630.0,12.0,,6.0,,97943.0,3/7/2021 01:59,2021-03-07T01:59:00Z,03/06 20:59,1381,4630.0,,2021-03-07T01:59:00Z,1104488.0,,,95390.0,,,,,,,,,,,,,,,30,72,0,100914,3132,100914,,0,1,7643a815c17357244db67932096ff56f623be3aa,0,0,0,0,0,,0.0913672217353199,0.0006242939532671383
2021-03-07,NC,872176,112559.0,,,totalTestsViral,9688838,1179.0,,309.0,,,,,3/6/2021 11:35,2021-03-06T11:35:00Z,03/06 06:35,11502,,819839.0,2021-03-06T11:35:00Z,9688838.0,,,759617.0,10169.0,1333.0,,,,,,,,,,,805924.0,,37,0,0,872176,0,872176,,0,0,d9ca67dd72ba6f8a8506ebb734fd25b0b8067608,0,0,0,0,0,,0.09001863794192864,0.0013517913815560161
2021-03-07,ND,100391,5463.0,305912.0,,totalTestEncountersViral,1425146,23.0,3880.0,3.0,567.0,,,98326.0,3/7/2021 01:59,2021-03-07T01:59:00Z,03/06 20:59,1478,3880.0,,2021-03-07T01:59:00Z,1536487.0,,,94928.0,,,1425146.0,406303.0,,,,,,,,,156698.0,,38,34,-109,406303,679,406303,,0,2,ee1d9ce00226b7456452f7d4f6674248577e0c4b,0,0,0,0,0,,0.07044260728374496,0.00022910420256795928
2021-03-07,NE,203026,,771128.0,,totalTestsViral,2421684,137.0,6237.0,,,,,157144.0,3/7/2021 11:15,2021-03-07T11:15:00Z,03/07 06:15,2113,6237.0,,2021-03-07T11:15:00Z,2421684.0,235965.0,2182938.0,,,,,974759.0,,,,,,,,,,,31,373,542,974154,1,974154,,0,8,3f55dc5e02818a3abbd58e07cf80bdfe4abc60f1,0,0,0,0,0,,0.08383670206352274,0.0006747904209313093
2021-03-07,NH,76861,22797.0,579582.0,,totalTestsViral,1497185,68.0,1131.0,,348.0,,,73615.0,3/7/2021 09:00,2021-03-07T09:00:00Z,03/07 04:00,1184,1131.0,,2021-03-07T09:00:00Z,1497185.0,,,54064.0,,,,633646.0,39545.0,,,37918.0,,,,,205103.0,,33,166,396,656443,15697,656443,,3,4,984a5b49a111e92bec03e2188180fa977e211111,0,0,0,0,0,,0.051337009120449376,0.0008847139641690845
2021-03-07,NJ,812609,91670.0,10186941.0,,posNeg,10999550,1792.0,64396.0,376.0,,232.0,,,3/7/2021 00:00,2021-03-07T00:00:00Z,03/06 19:00,23574,64396.0,77193.0,2021-03-07T00:00:00Z,10902830.0,,,720939.0,21177.0,2397.0,,,,,,,,,,,,,34,2519,0,10999550,2519,10999550,,17,58,343068629601e5564b578db7541484baf3ef552f,0,0,0,0,0,,0.07387656767776864,0.0022052426197593186
2021-03-07,NM,186922,,,,totalTestsViral,2783542,169.0,13252.0,,,,,156554.0,3/7/2021 17:37,2021-03-07T17:37:00Z,03/07 12:37,3808,13252.0,,2021-03-07T17:37:00Z,2783542.0,,,,,,,,,,,,,,,,,,35,180,0,186922,11702,186922,,12,10,254a01ca85894315ed1ae612eb1b457ed198ac62,0,0,0,0,0,,0.0671525703581983,0.000904120435261767
2021-03-07,NV,296190,,1131758.0,,totalTestEncountersViral,2770192,399.0,,87.0,,48.0,,,3/6/2021 00:00,2021-03-06T00:00:00Z,03/05 19:00,5037,,,2021-03-06T00:00:00Z,,,,296190.0,,,2770192.0,1427948.0,,,,,,,,,,,32,730,1829,1427948,6201,1427948,,1,0,fcbdfd6c3ee8359e623bb9bc5a6bdb0fc780b75e,0,0,0,0,0,,0.10692038674575625,0.0013471082750936899
2021-03-07,NY,1681169,,,,totalTestEncountersViral,39695100,4789.0,,999.0,,682.0,,,3/6/2021 14:00,2021-03-06T14:00:00Z,03/06 09:00,39029,,150100.0,2021-03-06T14:00:00Z,,,,,,,39695100.0,,,,,,,,,,,,36,6789,0,1681169,227768,1681169,,59,0,8b1ad6376deb03844d4e5e3f615197da1b3a214e,0,0,0,0,0,,0.04235205352801731,0.002848613078161684
2021-03-07,OH,978471,142113.0,,,totalTestsViral,10257157,820.0,50881.0,260.0,7207.0,171.0,,925655.0,3/7/2021 14:00,2021-03-07T14:00:00Z,03/07 09:00,17656,50881.0,,2021-03-07T14:00:00Z,10257157.0,864925.0,,836358.0,14752.0,2594.0,,,,,,,,,,,1798150.0,86990.0,39,735,0,978471,29289,978471,,0,33,b32fec674723dd2c970e0f0c05036a44be63b80b,0,0,0,0,0,,0.09539397710301208,0.000838042210755352
2021-03-07,OK,428997,,3146300.0,2984.0,posNeg,3575297,346.0,24332.0,100.0,,,,412177.0,,,,4534,24332.0,,,3548479.0,389855.0,3146300.0,,,,,,152279.0,23139.0,,,,,,,,,40,461,0,3578281,461,3575297,,0,55,3019887dd90821b78021a57adfdafde0617d7a31,0,0,0,0,0,,0.11998919250624493,0.0008065324466138458
2021-03-07,OR,157079,,,,totalTestsViral,3850973,158.0,8714.0,32.0,,12.0,,,3/6/2021 03:01,2021-03-06T03:01:00Z,03/05 22:01,2296,8714.0,,2021-03-06T03:01:00Z,3850973.0,226972.0,3624001.0,,,,,,,,,,,,,,,,41,195,0,157079,0,157079,,3,0,1ad86cf428e4cfe4db9d50dbee81e76f8a780e29,0,0,0,0,0,,0.04078943165792126,0.0010058632917194534
2021-03-07,PA,948643,134103.0,3942124.0,,totalTestEncountersViral,10681716,1587.0,,314.0,,183.0,,861756.0,3/7/2021 12:00,2021-03-07T12:00:00Z,03/07 07:00,24349,,,2021-03-07T12:00:00Z,,,,814540.0,,,10681716.0,4756664.0,,,,,,,,,,,42,1658,6592,4890767,52432,4890767,,32,0,cc747d66ac5b93580b1cd7b3f292eb5ee0fb5910,0,0,0,0,0,,0.08880998146739719,0.0016729159441433712
2021-03-07,PR,101632,8012.0,305972.0,,posNeg,407604,134.0,,21.0,,19.0,,91987.0,3/7/2021 00:00,2021-03-07T00:00:00Z,03/06 19:00,2062,,,2021-03-07T00:00:00Z,415664.0,20103.0,395291.0,93620.0,1752.0,310.0,,,,85241.0,,,,,,,,,72,305,0,407604,305,407604,,3,0,19eb8a58faff57a7aba79ef467260b8ccd35a873,0,0,0,0,0,,0.24934004573066015,0.0013184823677581865
2021-03-07,RI,128781,,677570.0,,totalTestEncountersViral,3123348,141.0,9020.0,25.0,,16.0,,,3/8/2021 16:31,2021-03-08T16:31:00Z,03/08 11:31,2547,9020.0,7865.0,2021-03-08T16:31:00Z,,153260.0,2970088.0,,,,3123348.0,806351.0,,,,,,,,,,,44,265,1421,806351,13513,806351,,0,0,604774c9b6670cbf0a7060307078cfd0e6504e4d,0,0,0,0,0,,0.04123171673473465,0.0010948820089920098
2021-03-07,SC,525865,75888.0,4657179.0,,posNeg,5183044,579.0,20725.0,137.0,,83.0,,218863.0,3/5/2021 23:59,2021-03-05T23:59:00Z,03/05 18:59,8754,20725.0,,2021-03-05T23:59:00Z,5107156.0,580893.0,4526263.0,449977.0,7744.0,1010.0,,,135125.0,28316.0,106809.0,,,,,,912838.0,111239.0,45,1408,25856,5183044,27264,5183044,,35,66,c5272b7792f489dd298d492dd7de3d822a4a6638,0,0,0,0,0,,0.10145871808149805,0.0011010430433666435
2021-03-07,SD,113589,12899.0,314540.0,,totalTestsViral,701924,72.0,6705.0,9.0,,6.0,,109531.0,3/6/2021 14:00,2021-03-06T14:00:00Z,03/06 09:00,1900,6705.0,,2021-03-06T14:00:00Z,701924.0,105096.0,,100690.0,,,,428129.0,,,,,,,,,,,46,211,524,428129,1275,428129,,2,13,b21c02251eddfda5478494054c1d8626d9c5079e,0,0,0,0,0,,0.16182521184629675,0.0006338641945963078
2021-03-07,TN,782206,128301.0,,,totalTestsViral,6872745,851.0,18870.0,218.0,,127.0,,756793.0,3/6/2021 15:00,2021-03-06T15:00:00Z,03/06 10:00,11543,18870.0,,2021-03-06T15:00:00Z,6872745.0,753695.0,6119050.0,653905.0,9278.0,2265.0,,,,,,,,,,,1430665.0,140582.0,47,0,0,782206,0,782206,,0,0,8dbae9bf92c2cb76e0e4c5673175365e9d53e071,0,0,0,0,0,,0.11381274876341257,0.001087948698936086
2021-03-07,TX,2686818,365961.0,,,totalTestsViral,19907384,4721.0,,1463.0,,,,2502609.0,3/7/2021 15:05,2021-03-07T15:05:00Z,03/07 10:05,44451,,,2021-03-07T15:05:00Z,19907384.0,2628176.0,,2320857.0,,,,,1033285.0,159003.0,,,,,,,2664340.0,211014.0,48,2953,0,2686818,76040,2686818,,84,0,3fcdc4c2d3b36a167a791fa8677cf5d19ca67464,0,0,0,0,0,,0.1349659000901374,0.0017570970568159064
2021-03-07,UT,374850,,1560293.0,,totalTestsViral,2910121,212.0,14891.0,73.0,2344.0,,822.0,358958.0,3/7/2021 09:35,2021-03-07T09:35:00Z,03/07 04:35,1976,14891.0,,2021-03-07T09:35:00Z,2910121.0,345990.0,2564131.0,,,,,1876802.0,,,,,,,371319.0,57683.0,1002177.0,60158.0,49,412,3204,1935143,6828,1935143,,1,24,d759cc6bb12e652ba45ca3a0dbd31f3b951eae34,0,0,0,0,0,,0.12880907701088717,0.0005655595571561958
2021-03-07,VA,585700,124528.0,,169.0,totalTestEncountersViral,6038209,1127.0,24661.0,258.0,,168.0,,,3/6/2021 17:00,2021-03-06T17:00:00Z,03/06 12:00,9596,24661.0,48428.0,2021-03-06T17:00:00Z,,562266.0,,461172.0,8104.0,1492.0,6038209.0,,224284.0,28980.0,,,,,,,1454389.0,125061.0,51,1163,0,585869,19925,585700,,77,24,58ad2cd3f6aa6b7a6c2f9582b0d521a559461f2a,0,0,0,0,0,,0.0969989611157878,0.0019241932730066588
2021-03-07,VI,2714,,46167.0,80.0,posNeg,48881,,,,,,,2559.0,3/5/2021 11:18,2021-03-05T11:18:00Z,03/05 06:18,25,,,2021-03-05T11:18:00Z,,,,,25.0,,,48961.0,,,,,,,,,,,78,0,0,48961,0,48881,,0,0,af836e98493cc7b5474acf9302ffe87d9568a0db,0,0,0,0,0,,0.055522595691577505,
2021-03-07,VT,16083,448.0,320060.0,,totalTestsViral,1124215,31.0,,1.0,,,,13384.0,3/6/2021 23:59,2021-03-06T23:59:00Z,03/06 18:59,208,,,2021-03-06T23:59:00Z,1124215.0,,,15635.0,,,,335695.0,,,,,,,,,,,50,119,643,336143,8748,336143,,0,0,ac73442d27f7fec957e7a11a9123f360b4a15724,0,0,0,0,0,,0.014305982396605632,0.001927501088105453
2021-03-07,WA,344532,19479.0,,,totalTestEncountersViral,5393756,431.0,19599.0,98.0,,43.0,,,3/6/2021 02:59,2021-03-06T02:59:00Z,03/05 21:59,5041,19599.0,,2021-03-06T02:59:00Z,,324994.0,5068404.0,325053.0,,,5393756.0,,,,,,,,,,,,53,664,0,344532,24040,344532,,0,43,d05df9ca1d090fd6a3f3f864eb442dc471e5861e,0,0,0,0,0,,0.06387608189914412,0.0012509723334842627
2021-03-07,WI,621654,54961.0,2647864.0,31.0,totalTestEncountersViral,7080595,249.0,26457.0,66.0,2273.0,,,553203.0,3/7/2021 00:00,2021-03-07T00:00:00Z,03/06 19:00,7106,26457.0,,2021-03-07T00:00:00Z,,,,566693.0,6481.0,625.0,7080595.0,3214557.0,,,,,,,,,,,55,377,3521,3269549,19193,3269518,,4,25,ea0056371780c0d00c44fa4f40092e7e0708a929,0,0,0,0,0,,0.08779685887979753,0.00040054435425493926
2021-03-07,WV,133445,26816.0,,,totalTestsViral,2236551,179.0,,40.0,,26.0,,125383.0,3/6/2021 23:59,2021-03-06T23:59:00Z,03/06 18:59,2325,,,2021-03-06T23:59:00Z,2236551.0,,,106629.0,1981.0,344.0,,,33011.0,,,,,,,,,,54,155,0,133445,6449,133445,,2,0,0884533b2e52491726d3fecba78a4971bfa7bc4d,0,0,0,0,0,,0.059665529648105495,0.0013413765970999288
2021-03-07,WY,54764,8367.0,182264.0,,totalTestsViral,649293,21.0,1391.0,,,,,53550.0,3/5/2021 00:00,2021-03-05T00:00:00Z,03/04 19:00,682,1391.0,,2021-03-05T00:00:00Z,649293.0,38993.0,602513.0,46397.0,,,,228661.0,,,,,,,,,,,56,0,0,237028,0,237028,,0,0,9cbc8bdcabbaf1f301ec1e48f8c23a4c65753282,0,0,0,0,0,,0.08434404806458717,0.0003834635892191951
